text,updateDt
"Pantes seungri klo lg sama member BB yg lain agak gmn gtu. Bagusnya sih karna kasus ini mencuat, jadi kebongkar kedok sisi buruk Kpop. 
Btw ada yg blg GD skrg hanya ngakui BB 3 orang aja (GD, daesung, taeyang). Lah TOP ada apa gerangan ? Dia mah gada sangkut pautnya di kasus ini kan.",2024-05-27
Kirain gay semua..,2024-05-27
Kpop pada fanatik nya ya.,2024-05-27
ngeri juga ya disana,2024-05-27
Itulah akibat kerakusan duniawi.,2024-05-27
"Percayalah ...yg jahat buanyak jd hati2..  jadi jgn terkecoh penampilan srgam 😂😂😂😂 krn u kalo pingin paham..terjunlah dunia malam mka. Muak bgt...atau terjutlah di pejabat apapun itu...😂😂 Org baik org jujur akan dj tekan.. 
Fakta bukan dongeng
Bersyukurlah walau engkau org biasa2 damai dgn kluargmu",2024-05-27
Ada cewe2 Indonesia siap dipakai oleh Suengri dan kerjasama menjadi mucikari. Makanya mereka membela Suengri.,2024-05-27
Gk di sna gk disini...sama aj..uang2... Dan aparat uang...masalh selsai...korbn...ya bgitu2 aj...kesing e manusia dlman e bukan manusia😅😅😅,2024-05-27
Fans nya masih bela dia ahahah lol,2024-05-27
Buat yg msh ngefens sama seungri Cs semoga cpt2 di ruqiah biar cpt sadar,2024-05-27
"Wah entah kenapa selalu polisi yang menjadi kaki tangan penjahat di setiap negara dan kota pasti ada aja yang korup 
Mungkin yang bersih hanya Angota yang baru masuk dan mereka pun akan tercemar oleh atasan mereka",2024-05-27
"Tetep fans bigbang tp ot4 aja kecuali seungri
 Jujur kecewa bgt sama itu orang😔",2024-05-27
"Emang main ama cowo korea bisa puaskah? Bukannya ""adeknya"" rekor terkecil di dunia ... Serius nanyea... 🤔",2024-05-27
Polis Korea byk mkn rasuah,2024-05-27
Bigbang Seungri yah masih enakan lagu2 anime 🤣,2024-05-27
"entah kenapa kalo tiap mv nya si JJY muncul, saya REPORT j sebagai pelaku pelecehan seksual. biar dia gak bisa ngembangin usaha/bisnis nya dari royalti MV nya abis bebas",2024-05-27
"Coba liat drakor ""TAXI DRIVER 2"" ceritanya hampir sama kaya kasus ini...bisa jadi ""TAXI DRIVER 2"" terinspirasi sama kasus ini",2024-05-27
"Ini pernah kok di filmkan tapi di plesetkan dan salah satu seri drakor *TAXI*.
Cuma disana di plesetkan dikit dan klo ga salah, ada polisi yg terbunuh. 
Coba saja lihat serial TAXI yg baru 2023.",2024-05-27
Pdhl talent dia b aja klo dibanding 4 member lain yg punya ciri khas masing2. Ya mmg iya sih ga ada yg spesial darinya. Sialan kau seungri sdh menjatuhkan nama baik bigbang.,2024-05-27
"Bukankah tindakan pengecut tingkat rendah, perkaos dlm keadaan mabok ?
Sudah tanpa persetujuan, dimabokin pula. Kaya sm benda mati.
Hahaha cakep2 tp gak jantan sama sekali.
Jauuuhh ihh dr tipe jantan apalagi bertanggjng jawab",2024-05-27
"Buat apa Faedah,Sdut Positif Baiknya yg dapat Mlah dpt Bantui kita kelak hari..Idolakan Fans2 kyak KPOP yg Jelas Gampang sihh..Hya Selfish,Rosakkan Iman..TiadA manfaat jelas lg apa lg Dpt Bantui kita Kelak hari.. Cuba Sedar sihh..
Yg Jelas Nyata Faedah Better Kita Idolakan Dan Fanskan Cinta Kita pada Rasullullah sAW yg Telah Bantu,Ssah pyah Dakwah Juang Demi Kita Umatnya Bisa Maju,Ada DAN dpt Manfaat Kelak Akhirat..Cinta sejati dari NABi SAW pada kita Smpi Sbelum Wafat aja Msih Memikirkan kita Doa..Kelak Dpt Bantu Prmudahkan Kita d Hdpn ALlaH nti..Cintai La Rasullullah sAW Melebihi apa2 pon..Sgguh KekasihNYA.. ❤
Ini Ngefans KpOp yg Jelas efek Negatif,Tiada Manfaat apa lg Mereka aja X pduli ingt Sma Fans2..Skadar Reputasi mereka aja..Jgn Jd Org2 yg Rugi,Jahil Kelak Mnyesal..Malang skali pd Org2 ngefans KPop smua tu..Nauzulbillah..
Maaf skadar Pndapat Dan Realitinya..Buat  saudara Muslim aja yaa..Maaf",2024-05-27
"fans2 yg slalu ngomong,big bang is the best.suju paling sayang sama fans.😂😂😂g ada yg namanya artis sayang sama fans..yg ada kalian dibuat kayak orang bodoh dgan tampang sok polos dan lugu idol yg sudah dirancang agensi masing2..apalagi nih,fans2 garis keras n fanatik..kayaknya idolnya itu malaikat,kemarin masalah MHY dan HYBE,eh fansnya pada saling bela,fans aespa merasa tersakiti dgan kata2 CEO big hit,fans sampe ngamuk2,lah klo dipikir secara logika,kau dapat untung brapa sampe harus bela mati2an orang yg tak kau kenal,sampai saudara seiman,setanah air,bahkan sesuku saling benci cman karna idol.ntar klo ada bencana alam atau apa2,apakah karina aespa,apa idol2 pujaanmu yg datang menolong?😂😂😂bangun anak2 bocil..hari sudah siang, g usah fanatik sama orang2 yg g kalian tau,mereka kelihatan glamor dan baik dpan kamera,off camera mereka penuh dgan depresi dan dark side,hidup liar melebihi ayam kampung,",2024-05-27
Fuck boy band,2024-05-27
Sukur deh sadar diri,2024-05-27
Padahal aki selalu memantau kasus vina,2024-05-27
"Kalo dimari biasanya setelah keluar dari penjara ya terkenal lagi, bisa masok tipi lagi mau bisa terkenal lagi,, dan udah kebukti kok,, makanya seungri langsung ke Bali pasca keluar penjara 😂",2024-05-27
Manusia tetaplah manusia. Maka jgn terlalu di dewa kan. Akhirnya penyelewengan dan memanfaatkan ketenaran,2024-05-26
Vidio full nya dimana bang?,2024-05-26
KPOP KONTOL,2024-05-26
"Masalah seungri memang besar tapi mungkin ada yg bela, sedangkan ketika jay park mungkin dimusuhi satu korea. 😅",2024-05-26
"Bigbang is gone, BTS berjaya karena seungri tolol haduhh",2024-05-26
Seungry is really d**k.. He is a trash,2024-05-27
me marathon all about burning sun be like ,2024-05-25
If you follow their TV show. Some senior already warned them to be careful with Seungri.,2024-05-25
Seungri is S.Korea's Sean Didi Comb....crazy !!!! Hell opened it's branch offices all over the world. And these high level ppl of the music n movie industries are the CEOs.,2024-05-25
"Rosé and Lisa were unable to meet this man.
Jisoo has clearly taken care of sisters.❤
And Jenny is clear that she doesn't like him.",2024-05-25
My wife ❤️🥰❣️ Jenni,2024-05-25
